Row,Col,Strain,Color
A,1,1,#e41a1c
A,2,1,#e41a1c
A,3,2,#377eb8
A,4,2,#377eb8
A,5,3,#4daf4a
A,6,3,#4daf4a
A,7,4,#984ea3
A,8,4,#984ea3
A,9,5,#ff7f00
A,10,5,#ff7f00
A,11,6,#ffff33
A,12,6,#ffff33
B,1,1,#e41a1c
B,2,1,#e41a1c
B,3,2,#377eb8
B,4,2,#377eb8
B,5,3,#4daf4a
B,6,3,#4daf4a
B,7,4,#984ea3
B,8,4,#984ea3
B,9,5,#ff7f00
B,10,5,#ff7f00
B,11,6,#ffff33
B,12,6,#ffff33
C,1,1,#e41a1c
C,2,1,#e41a1c
C,3,2,#377eb8
C,4,2,#377eb8
C,5,3,#4daf4a
C,6,3,#4daf4a
C,7,4,#984ea3
C,8,4,#984ea3
C,9,5,#ff7f00
C,10,5,#ff7f00
C,11,6,#ffff33
C,12,6,#ffff33
D,1,1,#e41a1c
D,2,1,#e41a1c
D,3,2,#377eb8
D,4,2,#377eb8
D,5,3,#4daf4a
D,6,3,#4daf4a
D,7,4,#984ea3
D,8,4,#984ea3
D,9,5,#ff7f00
D,10,5,#ff7f00
D,11,6,#ffff33
D,12,6,#ffff33
E,1,1,#e41a1c
E,2,1,#e41a1c
E,3,2,#377eb8
E,4,2,#377eb8
E,5,3,#4daf4a
E,6,3,#4daf4a
E,7,4,#984ea3
E,8,4,#984ea3
E,9,5,#ff7f00
E,10,5,#ff7f00
E,11,6,#ffff33
E,12,6,#ffff33
F,1,1,#e41a1c
F,2,1,#e41a1c
F,3,2,#377eb8
F,4,2,#377eb8
F,5,3,#4daf4a
F,6,3,#4daf4a
F,7,4,#984ea3
F,8,4,#984ea3
F,9,5,#ff7f00
F,10,5,#ff7f00
F,11,6,#ffff33
F,12,6,#ffff33
G,1,1,#e41a1c
G,2,1,#e41a1c
G,3,2,#377eb8
G,4,2,#377eb8
G,5,3,#4daf4a
G,6,3,#4daf4a
G,7,4,#984ea3
G,8,4,#984ea3
G,9,5,#ff7f00
G,10,5,#ff7f00
G,11,6,#ffff33
G,12,0,#ffffff
H,1,1,#e41a1c
H,2,1,#e41a1c
H,3,2,#377eb8
H,4,2,#377eb8
H,5,3,#4daf4a
H,6,3,#4daf4a
H,7,4,#984ea3
H,8,4,#984ea3
H,9,5,#ff7f00
H,10,5,#ff7f00
H,11,6,#ffff33
H,12,0,#ffffff
